,model,metric,fold,value
0,LogisticRegression,accuracy,0,0.6623376623376623
1,LogisticRegression,accuracy,1,0.7402597402597403
2,LogisticRegression,accuracy,2,0.7532467532467533
3,LogisticRegression,accuracy,3,0.8831168831168831
4,LogisticRegression,accuracy,4,0.7922077922077922
5,LogisticRegression,accuracy,5,0.7792207792207793
6,LogisticRegression,accuracy,6,0.7532467532467533
7,LogisticRegression,accuracy,7,0.7662337662337663
8,LogisticRegression,accuracy,8,0.7368421052631579
9,LogisticRegression,accuracy,9,0.6447368421052632
10,LogisticRegression,precision,0,0.5142857142857142
11,LogisticRegression,precision,1,0.6206896551724138
12,LogisticRegression,precision,2,0.6428571428571429
13,LogisticRegression,precision,3,0.875
14,LogisticRegression,precision,4,0.6774193548387096
15,LogisticRegression,precision,5,0.6666666666666666
16,LogisticRegression,precision,6,0.6666666666666666
17,LogisticRegression,precision,7,0.6451612903225806
18,LogisticRegression,precision,8,0.5714285714285714
19,LogisticRegression,precision,9,0.4827586206896552
20,LogisticRegression,recall,0,0.6666666666666666
21,LogisticRegression,recall,1,0.6666666666666666
22,LogisticRegression,recall,2,0.6666666666666666
23,LogisticRegression,recall,3,0.7777777777777778
24,LogisticRegression,recall,4,0.7777777777777778
25,LogisticRegression,recall,5,0.7407407407407407
26,LogisticRegression,recall,6,0.5925925925925926
27,LogisticRegression,recall,7,0.7407407407407407
28,LogisticRegression,recall,8,0.9230769230769231
29,LogisticRegression,recall,9,0.5384615384615384
30,LogisticRegression,f1,0,0.5806451612903226
31,LogisticRegression,f1,1,0.6428571428571429
32,LogisticRegression,f1,2,0.6545454545454545
33,LogisticRegression,f1,3,0.8235294117647058
34,LogisticRegression,f1,4,0.7241379310344828
35,LogisticRegression,f1,5,0.7017543859649122
36,LogisticRegression,f1,6,0.6274509803921569
37,LogisticRegression,f1,7,0.6896551724137931
38,LogisticRegression,f1,8,0.7058823529411765
39,LogisticRegression,f1,9,0.509090909090909
40,LogisticRegression,balanced_accuracy,0,0.6633333333333333
41,LogisticRegression,balanced_accuracy,1,0.7233333333333334
42,LogisticRegression,balanced_accuracy,2,0.7333333333333334
43,LogisticRegression,balanced_accuracy,3,0.8588888888888888
44,LogisticRegression,balanced_accuracy,4,0.788888888888889
45,LogisticRegression,balanced_accuracy,5,0.7703703703703704
46,LogisticRegression,balanced_accuracy,6,0.7162962962962962
47,LogisticRegression,balanced_accuracy,7,0.7603703703703704
48,LogisticRegression,balanced_accuracy,8,0.7815384615384615
49,LogisticRegression,balanced_accuracy,9,0.6192307692307693
50,LogisticRegression,mcc,0,0.31304951684997057
51,LogisticRegression,mcc,1,0.4398765500800706
52,LogisticRegression,mcc,2,0.4629100498862757
53,LogisticRegression,mcc,3,0.7394577025904426
54,LogisticRegression,mcc,4,0.5621703750837337
55,LogisticRegression,mcc,5,0.5291105481433476
56,LogisticRegression,mcc,6,0.44565871858907996
57,LogisticRegression,mcc,7,0.5066740688254677
58,LogisticRegression,mcc,8,0.5372486108055937
59,LogisticRegression,mcc,9,0.23288530726779577
60,LogisticRegression,tn_rate,0,0.42857142857142855
61,LogisticRegression,tn_rate,1,0.5064935064935064
62,LogisticRegression,tn_rate,2,0.5194805194805194
63,LogisticRegression,tn_rate,3,0.6103896103896104
64,LogisticRegression,tn_rate,4,0.5194805194805194
65,LogisticRegression,tn_rate,5,0.5194805194805194
66,LogisticRegression,tn_rate,6,0.5454545454545454
67,LogisticRegression,tn_rate,7,0.5064935064935064
68,LogisticRegression,tn_rate,8,0.42105263157894735
69,LogisticRegression,tn_rate,9,0.4605263157894737
70,LogisticRegression,fp_rate,0,0.22077922077922077
